用戶ID,日期,當日天氣,心情指數,心情小語
2,2024-11-01,小雨,6,心情超級好！
2,2024-11-02,小雨,6,有點疲憊，但努力中。
2,2024-11-03,陰天,7,平平淡淡的一天。
2,2024-11-04,酷熱,6,有點疲憊，但努力中。
2,2024-11-05,多雲,7,心情超級好！
2,2024-11-06,寒冷,8,充滿能量的一天！
2,2024-11-07,晴天,2,遇到點挫折，但還可以。
2,2024-11-08,陰天,5,充滿能量的一天！
2,2024-11-09,雷陣雨,4,遇到點挫折，但還可以。
2,2024-11-10,寒冷,4,情緒起伏比較大。
2,2024-11-11,晴天,9,非常滿足的一天。
2,2024-11-12,寒冷,1,平平淡淡的一天。
2,2024-11-13,小雨,2,遇到點挫折，但還可以。
2,2024-11-14,雷陣雨,7,平平淡淡的一天。
2,2024-11-15,雷陣雨,4,充滿能量的一天！
2,2024-11-16,小雨,2,今天有些小確幸。
2,2024-11-17,晴天,6,情緒起伏比較大。
2,2024-11-18,小雨,4,非常滿足的一天。
2,2024-11-19,小雨,1,今天有些小確幸。
2,2024-11-20,陰天,1,有點疲憊，但努力中。
2,2024-11-21,雷陣雨,2,有點煩躁，但還能調適。
2,2024-11-22,晴天,5,非常滿足的一天。
2,2024-11-23,小雨,7,情緒起伏比較大。
2,2024-11-24,晴天,1,今天有些小確幸。
2,2024-11-25,陰天,9,有點疲憊，但努力中。
2,2024-11-26,大雨,5,想要休息的一天。
2,2024-11-27,小雨,6,遇到點挫折，但還可以。
2,2024-11-28,酷熱,1,平平淡淡的一天。
2,2024-11-29,大雨,8,遇到點挫折，但還可以。
2,2024-11-30,大雨,8,遇到點挫折，但還可以。
2,2024-12-01,雷陣雨,8,充滿能量的一天！
2,2024-12-02,酷熱,4,平平淡淡的一天。
2,2024-12-03,寒冷,6,想要休息的一天。
2,2024-12-04,多雲,6,充滿能量的一天！
2,2024-12-05,陰天,6,心情超級好！
2,2024-12-06,小雨,6,非常滿足的一天。
2,2024-12-07,寒冷,6,有點煩躁，但還能調適。
2,2024-12-08,寒冷,8,充滿能量的一天！
2,2024-12-09,大雨,10,遇到點挫折，但還可以。
2,2024-12-10,陰天,7,遇到點挫折，但還可以。
2,2024-12-11,雷陣雨,7,情緒起伏比較大。
2,2024-12-12,晴天,9,有點疲憊，但努力中。
2,2024-12-13,寒冷,4,有點煩躁，但還能調適。
2,2024-12-14,酷熱,1,非常滿足的一天。
2,2024-12-15,酷熱,9,非常滿足的一天。
2,2024-12-16,酷熱,6,情緒起伏比較大。
2,2024-12-17,寒冷,2,情緒起伏比較大。
2,2024-12-18,多雲,1,今天有些小確幸。
2,2024-12-19,多雲,9,遇到點挫折，但還可以。
2,2024-12-20,雷陣雨,3,情緒起伏比較大。
2,2024-12-21,晴天,5,充滿能量的一天！
2,2024-12-22,晴天,6,有點疲憊，但努力中。
2,2024-12-23,酷熱,1,遇到點挫折，但還可以。
2,2024-12-24,寒冷,2,平平淡淡的一天。
2,2024-12-25,陰天,1,有點疲憊，但努力中。
2,2024-12-26,陰天,2,有點疲憊，但努力中。
2,2024-12-27,寒冷,5,想要休息的一天。
2,2024-12-28,酷熱,3,有點煩躁，但還能調適。
2,2024-12-29,小雨,8,遇到點挫折，但還可以。
2,2024-12-30,小雨,10,想要休息的一天。
2,2024-12-31,晴天,3,情緒起伏比較大。
2,2025-01-01,雷陣雨,8,心情超級好！
2,2025-01-02,雷陣雨,8,有點煩躁，但還能調適。
2,2025-01-03,酷熱,8,遇到點挫折，但還可以。
2,2025-01-04,寒冷,8,遇到點挫折，但還可以。
2,2025-01-05,多雲,10,有點疲憊，但努力中。
2,2025-01-06,多雲,2,有點疲憊，但努力中。
