用戶ID,日期,當日天氣,心情指數,心情小語
3,2025/4/1,陰天,7,今天有些小確幸。
3,2025/4/2,晴天,1,情緒起伏比較大。
3,2025/4/3,酷熱,3,有點煩躁，但還能調適。
3,2025/4/4,多雲,2,情緒起伏比較大。
3,2025/4/5,多雲,8,平平淡淡的一天。
3,2025/4/6,晴天,5,心情超級好！
3,2025/4/7,大雨,1,充滿能量的一天！
3,2025/4/8,小雨,9,心情超級好！
3,2025/4/9,寒冷,3,今天有些小確幸。
3,2025/4/10,晴天,5,有點疲憊，但努力中。
3,2025/4/11,雷陣雨,10,平平淡淡的一天。
3,2025/4/12,小雨,5,情緒起伏比較大。
3,2025/4/13,寒冷,8,想要休息的一天。
3,2025/4/14,小雨,2,有點疲憊，但努力中。
3,2025/4/15,陰天,5,平平淡淡的一天。
3,2025/4/16,雷陣雨,2,非常滿足的一天。
3,2025/4/17,酷熱,10,情緒起伏比較大。
3,2025/4/18,小雨,1,想要休息的一天。
3,2025/4/19,酷熱,5,非常滿足的一天。
3,2025/4/20,小雨,3,有點疲憊，但努力中。
3,2025/4/21,小雨,2,充滿能量的一天！
3,2025/4/22,大雨,2,心情超級好！
3,2025/4/23,酷熱,9,有點煩躁，但還能調適。
3,2025/4/24,寒冷,7,有點疲憊，但努力中。
3,2025/4/25,多雲,4,有點疲憊，但努力中。
3,2025/4/26,晴天,8,情緒起伏比較大。
3,2025/4/27,雷陣雨,10,有點煩躁，但還能調適。
3,2025/4/28,晴天,8,有點疲憊，但努力中。
3,2025/4/29,小雨,2,有點疲憊，但努力中。
